Code,Category,ShortDescription,LongDescription,IsCommon,Severity,SearchTerms
A00,Infectioase,Holera,Holera,0,Severe,holera
A01,Infectioase,Febra tifoida si paratifoida,Febra tifoida si paratifoida,0,Severe,tifos
A02,Infectioase,Alte infectii cu Salmonella,Salmoneloza,1,Moderate,salmonela
A04,Infectioase,Alte infectii intestinale bacteriene,Infectii intestinale bacteriene,1,Moderate,infectie intestinala
A09,Infectioase,Gastroenterita infectioasa,Diaree si gastroenterita de origine infectioasa,1,Mild,gastroenterita diaree varsaturi
B34.9,Infectioase,Infectie virala nespecificata,Infectie virala nespecificata,1,Mild,virus viroza
C34,Neoplasme,Cancer pulmonar,Neoplasmul malign al bronhiei si plamanului,1,Critical,cancer pulmonar plamani
C50,Neoplasme,Cancer mamar,Neoplasmul malign al sanului,1,Critical,cancer san mamar
C61,Neoplasme,Cancer de prostata,Neoplasmul malign al prostatei,1,Critical,cancer prostata
C18,Neoplasme,Cancer de colon,Neoplasmul malign al colonului,1,Critical,cancer colon
D50,Sange,Anemie feripriva,Anemie prin deficit de fier,1,Mild,anemie fier feripriva
D50.9,Sange,Anemie feripriva nespecificata,Anemie feripriva nespecificata,1,Mild,anemie
D64.9,Sange,Anemie nespecificata,Anemie nespecificata,1,Mild,anemie
E03,Endocrin,Hipotiroidism,Alte forme de hipotiroidism,1,Mild,hipotiroidism tiroidita
E03.9,Endocrin,Hipotiroidism nespecificat,Hipotiroidism nespecificat,1,Mild,hipotiroidism
E05,Endocrin,Hipertiroidism,Tirotoxicoza,1,Moderate,hipertiroidism tireotoxicoza
E05.9,Endocrin,Hipertiroidism nespecificat,Tirotoxicoza nespecificata,1,Moderate,hipertiroidism
E10,Endocrin,Diabet zaharat tip 1,Diabet zaharat insulino-dependent,1,Moderate,diabet tip1 insulina
E10.9,Endocrin,Diabet zaharat tip 1 fara complicatii,Diabet zaharat tip 1 fara complicatii,1,Moderate,diabet tip1
E11,Endocrin,Diabet zaharat tip 2,Diabet zaharat non-insulino-dependent,1,Moderate,diabet tip2
E11.9,Endocrin,Diabet zaharat tip 2 fara complicatii,Diabet zaharat tip 2 fara complicatii,1,Moderate,diabet tip2
E66,Endocrin,Obezitate,Obezitate,1,Moderate,obezitate supraponderabilitate
E66.9,Endocrin,Obezitate nespecificata,Obezitate nespecificata,1,Moderate,obezitate
E78,Endocrin,Dislipidemie,Tulburari ale metabolismului lipoproteinelor,1,Mild,dislipidemie colesterol trigliceride
E78.0,Endocrin,Hipercolesterolemie pura,Hipercolesterolemie pura,1,Mild,colesterol marit
E78.5,Endocrin,Hiperlipidemie nespecificata,Hiperlipidemie nespecificata,1,Mild,hiperlipidemie
E79.0,Endocrin,Hiperuricemie,Hiperuricemie fara semne de artrita gutoasa,1,Mild,acid uric guta
F32,Mental,Episod depresiv,Episod depresiv,1,Moderate,depresie tristete
F32.9,Mental,Episod depresiv nespecificat,Depresie nespecificata,1,Moderate,depresie
F41,Mental,Tulburari anxioase,Alte tulburari anxioase,1,Moderate,anxietate neliniste
F41.1,Mental,Tulburare anxioasa generalizata,Anxietate generalizata,1,Moderate,anxietate tag
F41.9,Mental,Tulburare anxioasa nespecificata,Anxietate nespecificata,1,Mild,anxietate
F51.0,Mental,Insomnie,Insomnie neorganica,1,Mild,insomnie somn
G20,Nervos,Boala Parkinson,Boala Parkinson,1,Severe,parkinson tremor
G30,Nervos,Boala Alzheimer,Dementa Alzheimer,1,Severe,alzheimer dementa
G40,Nervos,Epilepsie,Epilepsie,1,Severe,epilepsie convulsii crize
G43,Nervos,Migrena,Migrena,1,Moderate,migrena durere cap
G43.9,Nervos,Migrena nespecificata,Migrena nespecificata,1,Moderate,migrena
G45,Nervos,Atacuri ischemice tranzitorii,AIT,1,Severe,ait tia atac ischemic
G62.9,Nervos,Polineuropatie nespecificata,Polineuropatie nespecificata,1,Moderate,neuropatie
H10,Ochi,Conjunctivita,Conjunctivita,1,Mild,conjunctivita ochi rosii
H25,Ochi,Cataracta senila,Cataracta senila,1,Moderate,cataracta
H40,Ochi,Glaucom,Glaucom,1,Moderate,glaucom presiune oculara
