Code,Category,ShortDescription,LongDescription,IsCommon,Severity,SearchTerms
F00.9,Mental,Dementa in boala Alzheimer nespecificata,Dementa in boala Alzheimer nespecificata,1,Severe,alzheimer dementa
F01.9,Mental,Dementa vasculara nespecificata,Dementa vasculara nespecificata,1,Severe,dementa vasculara
F02.8,Mental,Dementa in alte boli clasificate in alta parte,Dementa in alte boli clasificate in alta parte,0,Severe,dementa
F03,Mental,Dementa nespecificata,Dementa nespecificata,1,Severe,dementa
F05.9,Mental,Delirium nespecificat,Delirium nespecificat,1,Moderate,delirium confuzie
F06.7,Mental,Tulburare cognitiva usoara,Tulburare cognitiva usoara,1,Mild,cognitiv deficit
F10.1,Mental,Tulburari mentale datorate consumului de alcool nociv,Tulburari mentale si de comportament datorate consumului de alcool - utilizare nociva,1,Moderate,alcool abuz
F10.2,Mental,Sindrom de dependenta de alcool,Tulburari mentale si de comportament datorate consumului de alcool - sindrom de dependenta,1,Moderate,alcoolism dependenta
F10.3,Mental,Sindrom de sevraj alcoolic,Tulburari mentale si de comportament datorate consumului de alcool - sindrom de sevraj,1,Moderate,sevraj alcool
F10.5,Mental,Psihoza alcoolica,Tulburari mentale si de comportament datorate consumului de alcool - tulburare psihotica,0,Severe,psihoza alcool
F11.2,Mental,Dependenta de opioide,Tulburari mentale si de comportament datorate consumului de opioide - sindrom de dependenta,0,Severe,opioide dependenta heroina
F12.2,Mental,Dependenta de canabis,Tulburari mentale si de comportament datorate consumului de canabinoide - sindrom de dependenta,0,Moderate,canabis marijuana dependenta
F17.2,Mental,Dependenta de tutun,Tulburari mentale si de comportament datorate consumului de tutun - sindrom de dependenta,1,Mild,fumat tutun dependenta
F19.2,Mental,Dependenta de droguri multiple,Tulburari mentale si de comportament datorate consumului de droguri multiple - sindrom de dependenta,0,Severe,droguri dependenta multipla
F20.0,Mental,Schizofrenie paranoida,Schizofrenie paranoida,0,Severe,schizofrenie paranoida
F20.9,Mental,Schizofrenie nespecificata,Schizofrenie nespecificata,1,Severe,schizofrenie
F22.0,Mental,Tulburare deliranta,Tulburare deliranta,0,Severe,delir paranoia
F23.9,Mental,Tulburare psihotica acuta nespecificata,Tulburare psihotica acuta si tranzitorie nespecificata,0,Severe,psihoza acuta
F25.9,Mental,Tulburare schizoafectiva nespecificata,Tulburare schizoafectiva nespecificata,0,Severe,schizoafectiv
